Suburb,Weekly Income
City Beach,2576
Cottesloe,2519
Peppermint Grove,2519
Crawley,2217
Dalkeith,2217
Nedlands,2217
Burns Beach,2079
Currambine,2079
Iluka,2079
Kinross,2079
Duncraig,1960
Leederville,1927
West Leederville,1927
Darlington,1923
Canning Vale,1917
Willetton,1917
Daglish,1889
Shenton Park,1889
Subiaco,1889
Bull Creek,1884
Leeming,1884
Atwell,1850
Aubin Grove,1850
Beeliar,1850
South Lake,1850
Success,1850
Yangebup,1850
Claremont,1843
Mount Claremont,1843
Kensington,1842
South Perth,1842
East Fremantle,1838
Applecross,1832
Ardross,1832
Brentwood,1832
Mount Pleasant,1832
Kingsley,1820
Woodvale,1820
Parkerville,1818
East Perth,1814
Bateman,1783
Winthrop,1783
Brigadoon,1774
Ellenbrook,1774
The Vines,1774
Floreat,1759
Jolimont,1759
Wembley,1759
Banksia Grove,1757
Carramar,1757
Perth,1750
North Perth,1736
Gidgegannup,1734
Glen Forrest,1734
Hovea,1734
Hocking,1728
Landsdale,1728
Pearsall,1728
Tapping,1728
Wanneroo,1728
Byford,1724
Coolbinia,1715
Menora,1715
Mount Lawley,1715
Craigie,1700
Hillarys,1700
Kallaroo,1700
West Perth,1699
Beldon,1676
Connolly,1676
Edgewater,1676
Heathridge,1676
Joondalup,1676
Ocean Reef,1676
Doubleview,1669
Innaloo,1669
Karrinyup,1669
Woodlands,1669
Port Kennedy,1668
Scarborough,1627
Leda,1589
Wellard,1589
Glendalough,1579
Mount Hawthorn,1579
Gooseberry Hill,1571
Kalamunda,1571
Lesmurdie,1571
Walliston,1571
Greenwood,1563
Warwick,1563
High Wycombe,1552
Maida Vale,1552
Coogee,1550
Munster,1550
Caversham,1533
Guildford,1533
South Guildford,1533
West Swan,1533
Chittering,1525
Lower Chittering,1525
Burswood,1514
Victoria Park,1514
Mosman Park,1497
Ballajura,1495
Merriwa,1491
Bedford,1489
Hamersley,1489
Inglewood,1489
Attadale,1486
Melville,1486
Willagee,1486
Ferndale,1454
Riverton,1454
Rossmoyne,1454
Shelley,1454
Como,1452
Alfred Cove,1440
Booragoon,1440
Myaree,1440
Bayswater,1413
Bicton,1412
Palmyra,1412
Thornlie,1411
Fremantle,1397
Beechboro,1386
Carlisle,1385
East Victoria Park,1385
Ascot,1357
Belmont,1357
Redcliffe,1357
Balcatta,1354
Stirling,1354
Armadale,1321
Bedfordale,1321
Harrisdale,1321
Mount Nasura,1321
Forrestfield,1304
Queens Park,1300
Wattle Grove,1300
Wilson,1300
Rivervale,1293
Dianella,1290
Gosnells,1285
Huntingdale,1285
Southern River,1285
Kelmscott,1284
Roleystone,1284
Morley,1266
Waikiki,1257
Warnbro,1257
Langford,1235
Parkwood,1235
Greenmount,1228
Midland,1228
Swan View,1228
Maylands,1221
Bassendean,1214
Kiara,1214
Lockridge,1214
Joondanna,1199
Tuart Hill,1199
Yokine,1199
Beaconsfield,1195
Bibra Lake,1195
Coolbellup,1195
Hamilton Hill,1195
Hilton,1195
South Fremantle,1195
White Gum Valley,1195
Girrawheen,1173
Marangaroo,1173
Medina,1172
Parmelia,1172
Cloverdale,1168
Kewdale,1168
Osborne Park,1102
Maddington,1093
Mirrabooka,1042
Nollamara,1042
Westminster,1042
Cooloong,945
Bentl,875
St Jam,875
